min_score,sl_pips,rr,trades,win_rate,profit_factor,max_dd_pct,max_dd_abs,return_pct,net_pnl,sharpe,ftmo_ok,reason
5,12.0,2.5,90,27.8,0.924,9.66,1005.69,-4.75,-475.5,-0.56,True,ok
5,12.0,3.0,88,23.9,0.891,8.94,893.71,-6.96,-696.3,-0.79,True,ok
5,15.0,2.0,85,30.6,0.887,11.5,1204.35,-6.47,-646.81,-0.89,False,DD 11.5%
5,15.0,2.5,84,26.2,0.888,11.04,1156.55,-6.78,-677.88,-0.85,False,DD 11.0%
5,15.0,3.0,78,23.1,0.894,15.68,1739.7,-6.46,-646.36,-0.78,False,DD 15.7%
5,20.0,2.0,76,30.3,0.877,11.7,1240.78,-6.38,-638.18,-0.98,False,DD 11.7%
5,20.0,2.5,69,26.1,0.882,13.9,1516.6,-6.08,-607.77,-0.9,False,DD 13.9%
5,20.0,3.0,67,23.9,0.932,10.61,1135.48,-3.53,-352.51,-0.49,False,DD 10.6%
6,5.0,2.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (6<10)
6,5.0,2.5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (6<10)
6,5.0,3.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (6<10)
6,8.0,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (7<10)
6,8.0,2.5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (6<10)
6,8.0,3.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (6<10)
6,10.0,2.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (6<10)
6,10.0,2.5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (6<10)
6,10.0,3.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (6<10)
6,12.0,2.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (5<10)
6,12.0,2.5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (5<10)
6,12.0,3.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (5<10)
6,15.0,2.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (5<10)
6,15.0,2.5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (5<10)
6,15.0,3.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (5<10)
6,20.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (3<10)
6,20.0,2.5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (3<10)
6,20.0,3.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (3<10)
7,5.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,sin señales
7,5.0,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,sin señales
7,5.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,sin señales
7,8.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,sin señales
7,8.0,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,sin señales
7,8.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,sin señales
7,10.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,sin señales
7,10.0,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,sin señales
7,10.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,sin señales
7,12.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,sin señales
7,12.0,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,sin señales
7,12.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,sin señales
7,15.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,sin señales
7,15.0,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,sin señales
7,15.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,sin señales
7,20.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,sin señales
7,20.0,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,sin señales
7,20.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,sin señales
